text,depressive
my brain isn't in the best place right now - i have a lot going on that i'm having to deal with (most of it not my causing but still my responsibility). i really just want to disappear and be invisible.,1
i want to make it disappear. or watch it disappear again and again,1
"it's fucking terrifying. i'm tired of always having to struggle so hard. i was out of anything to give over a decade ago.

everything since has just been piling burnout on top of burnout, & i'll probably never recover any of the parts of me i held dear & lost.

i am so tired. i just want to be safe.",1
"god, i can't imagine how empty and pathetic it must feel to be these people. i'm so sorry.",1
what's the point of having a vent account if i'm just gonna crawl up and cry in my bed all day instead,1
idek how to explain it. i like interacting with my current moots. but thinking about establishing myself again here is just soooo tiring. the scariest part is it makes me want to just quit. leave. disappear.,1
"well, today has been one of the worst mornings i've ever had. nothing i do seems to be working right. fuck man, nothing i've been trying to do has worked right for years now at this point. gods i'm so tired and need a win so bad man. fuck. everything just sucks and is so bleak right now.",1
"sometimes i want to disappear and be very strong in my own, very hidden corner.",1
"i still don't reeeeeally want to be here and i'm thinking i'm just gonna...

not try? i guess?? i'm tired of being. i'm tired of no one actually giving a shit.",1
i miss gabe so fucking much. i feel so empty without him...,1
starting a treatment couldn’t come soon enough. i am so much pain today. my skin hurts.  everything hurts. i’m tired of interrupting my life and it is making me so cranky all the time. i’d rather be in a good mood so let’s get to the getting better.,1
i'm really trying to hold on to not vent right now. i'm so so tired of everything.,1
i feel so burnt out on life. my birthday is next month and i told eric that all i want is to disappear into the woods. no people. just me and him. maybe some blunts. maybe som painting. i just want to go be in the woods and away.,1
the past two months have felt like a horrible hallucination i want 2 snap out of it but i don’t think i can i don’t know what day it is it’s all blended 2gether i can’t take it anymore,1
i’m tired of everything,1
this is the worst. i just want to escape. i just want to run. i want a complete reset. i'm sorry for publicizing this episode but i just can't take bottling it up anymore.,1
if i could go one day without feeling like i want to have a mental breakdown that would be great,1
"negative self talk is such a bitch for real… i’ve been feeling horrible the whole day! yesterday and the day before was great but today didn’t do anything of the things i wanted to do and now of course i feel even more like shit because i’m a failure. 
i just want to feel good for longer…",1
i don't want to go to school anymore. i don't even have enough will to want to get up from bed and move around and exist. all i want is to just randomly disappear with the memory of me gone from everyone's heads so maybe i could fix all that i've done,1
"so now every time i do something good, i just feel so empty, i feel like i haven’t done anything even if i’ve worked hard, so it’s kind of hard to feel like i should do anything anymore. i depend on others too fucking much it’s crazy i just want to feel whole inside, by myself, without anyone else.",1
"does anyone else find it impossible to make friends or find a partner?

i feel so alone in this.

now theres going to be someone that says ""but you have over 10000 followers here""

it's not the same.

i struggle alone in this, even in the autistic online community.

thanks for reading.",1
"i am so tired of everything.

going to try and finish writing this chapter today.

have a cat.",1
"♡ ♡ look that’s it, i can’t take this anymore. i’m getting high and going babie mode ",1
i am awake and feeling like trash today. i am still incredibly upset about what happened last night. of all the things i prepared myself for apparently the game making me throw up didn't register on my radar and it should have given my stomach issues. it was not a great way to end my birthday. ,1
"i can’t stand you.
i can’t take it anymore.",1
what i need is an out. i'm tired of it all and want all my worries to just disappear forever.,1
"want to go out but it'll be the same as it always is. shut off, dead to others, unable to speak because the words i want to say disappear before they can reach my mouth",1
"i'm just venting, i'm tired of drama, tired of everything

just play game, stare at nice booba and cock and ass, fuck the haters",1
"i just can't take it anymore.

i just don't care.",1
i think i'm going through some burnout with everything... i have to manage college assignments on top of a full time job and this summer class was a mess and the spring semester was an awful experience. i feel so tired,1
well go from one thing to another...woke up with my throat feeling weird and my voice is barely coming out...great...,1
"yeah, i've had to hide things that i don't want to suddenly disappear, but are too large for me to take home when i go visit. ",1
so hard. omg. every day that goes by....i can't take it anymore,1
i have fucked up on such an astronomical asshole level that i want to disappear for a long time and don’t deserve any friends.,1
 sometimes you can just wake up and get hit with a deep aching sadness that roots in your chest like a stubborn weed despite it all. even thought theres nothing actually wrong with today and that i shouldnt even be sad? why should i be depressed? i have so much to be happy for,1
"yes it is!!

and i'm tired of it.

i'm tired of being terrified that my next check won't come and i'll lose everything.",1
"yesterday was great, got a lot of stuff done, let nothing and no one take away my happiness, got my halloween costume sorted, and i'm still feeling great today. going to keep refusing to let things take away my happiness.",1
feeling the same today rave bean  i just want to disappear  sending you any positive vibes i can muster ,1
"everything feels so pointless and empty. i don't need a purpose to live, i don't need a reason, but i do need company. i feel like i'm just fading, rotting, vanishing from the world. i feel so fucking isolated. at least before i knew you i didn't know what it was like to be seen for who i was.",1
"it took a lot of muting and one random block but i think my feeds are mostly safe again. idk when i’ll unmute a lot of it. if ever. but right now for my mental health, this is what i have to do. i’ve spent the past 5 years fighting, not to mention everything before that, and i’m just damn tired.",1
i hope i at least like feeling great,1
"hey, good morning people. hope you have a good day and a nice weekend

i've kinda had conflicting thoughts lately, i feel like i want to return to twitter again. not because i like it, no not at all. but mainly it seems most friends don't really care about this place and it kinda feels empty.",1
"i know that major depressive disorder is common enough that society doesn't typically think about it as a disability, but this round sure has been disabling for me. i feel like i can't do anything anymore and when i can it takes me burning five times the energy that it used to",1
one of the many reasons i’m trying to leave twitter.  can’t take it anymore.,1
everything is so bad right now. i really wish i didn't have to be here. i don't want to live through this. i never asked to be here.,1
i feel empty,1
"i feel empty, lonely, unwanted, and abandoned. no one really wants to talk to me anymore. i always get the vibe that people are just humoring me, but really they think i'm annoying and try to get rid of me as fast as they can.""",1
"depressed people depress people? 
gee, thanks. now i'm even more depressed.",1
it feels so bad. i feel like i should be making something everyday or else im useless but at the same time my brain is like :) no u will do nothing :),1
i’m tired of feeling like i have to brave everything out alone every time i get the courage to let my guard down and start depending on people. really starting to think i’d be happier if i moved far away from everyone and everything i know and just allow myself to truly be alone.,1
omg my cat <sigh> the angst. the pain. the emptyness. ugh,1
"i feel blue, and no one else understands why, because i don't understand too.

sometimes i just want to disappear.",1
i just… i’m tired of trying to see the bright side. i don’t even need good things to happen i just need the bad stuff to take some time off. i don’t know how much more i can deal with and i’m tired of fighting to keep my head above water when everything seems to be trying to hold me under.,1
"thank you so much for talking about this because i’m literally in my dysphoria blues today and it’s exactly this. adults forgetting that i’m still a child, strangers commenting on my body, the feeling like i want to disappear so i’m not perceived but at the same time knowing no one really sees me ",1
and what happens when i can’t take it anymore?,1
i'm so fucking tired of everything today,1
i'm so fuckinf. tired vro and my mum is mocking me for it i can't take it anymore ,1
kk i’ll be serious soon i like to be silly when emotionally i’m dead inside,1
i just feel so empty i don’t know how to feel i just want peace,1
get me out of here i can’t take it anymore !!!,1
"i don’t want to be here.  i want to delete this from my phone.  an app that keeps me in fear.  fear of what awful danger he might unleash.  if i don’t have this it may be missed.  
isn’t that what being a hostage is?  today has been the worst so far since the election.  i’m just sad.",1
